"Product Name",Category,"Parts No","Rack No","Column No","Row No","Available unit","Unit type","Brand Name"
"Product 1280","Ball & Bearing",P1280,R4,C1,RW5,55.00,Coel,
"Product 1536","Sewing & printing",P1536,R9,C1,RW4,84.00,KG,
"Product 1792","Sewing & printing",P1792,R7,C1,RW1,22.00,pkt,
"Product 1281","Ball & Bearing",P1281,R7,C1,RW1,74.00,pcs,
"Product 1537","Sewing & printing",P1537,R7,C4,RW2,36.00,Feet,
"Product 1793","Loom F SN-4",P1793,R2,C3,RW3,28.00,KG,
"Product 1282","Loom F SN-4",P1282,R3,C3,RW3,73.00,Coel,
"Product 1538","Ball & Bearing",P1538,R2,C1,RW1,42.00,KG,
"Product 1794","Loom F SN-4",P1794,R6,C2,RW4,43.00,KG,
"Product 1283","Loom F SN-4",P1283,R5,C2,RW3,56.00,Feet,
"Product 1539",Stationery,P1539,R9,C2,RW5,44.00,pcs,
"Product 1795","Loom F SN-6 m",P1795,R6,C4,RW2,18.00,pkt,
"Product 1284","Loom F SN-6 m",P1284,R6,C1,RW5,26.00,KG,
"Product 1540","Loom F SN-4",P1540,R3,C4,RW2,23.00,pcs,
"Product 1796","Ball & Bearing",P1796,R4,C4,RW2,57.00,pcs,
"Product 1285","Loom F SN-6 m",P1285,R8,C1,RW3,98.00,Coel,
"Product 1541","Loom F SN-4",P1541,R1,C5,RW5,100.00,Feet,
"Product 1797","Ball & Bearing",P1797,R3,C1,RW4,68.00,pcs,
"Product 1286","Ball & Bearing",P1286,R4,C3,RW4,65.00,Feet,
"Product 1542","Loom F SN-4",P1542,R9,C5,RW4,22.00,KG,
"Product 1798","Loom F SN-4",P1798,R8,C1,RW1,43.00,KG,
"Product 1287","Ball & Bearing",P1287,R4,C5,RW4,92.00,Coel,
"Product 1543","Ball & Bearing",P1543,R8,C2,RW5,35.00,pcs,
"Product 1799",Stationery,P1799,R5,C2,RW1,19.00,Feet,
"Product 1288",Stationery,P1288,R10,C1,RW4,57.00,Coel,
"Product 1544","Loom F SN-4",P1544,R3,C4,RW2,11.00,Feet,
"Product 1800","Ball & Bearing",P1800,R10,C3,RW2,87.00,pkt,
"Product 1289",Stationery,P1289,R2,C2,RW2,32.00,pkt,
"Product 1545","Ball & Bearing",P1545,R3,C1,RW3,85.00,pcs,
"Product 1801",Stationery,P1801,R4,C1,RW2,31.00,pcs,
"Product 1290","Ball & Bearing",P1290,R6,C3,RW4,100.00,Feet,
"Product 1546",Stationery,P1546,R6,C1,RW2,48.00,Coel,
"Product 1802","Sewing & printing",P1802,R7,C5,RW3,69.00,Coel,
"Product 1291",Stationery,P1291,R3,C1,RW3,48.00,KG,
"Product 1547","Sewing & printing",P1547,R10,C5,RW2,88.00,KG,
"Product 1803","Sewing & printing",P1803,R10,C5,RW1,31.00,Feet,
"Product 1292","Ball & Bearing",P1292,R4,C1,RW5,49.00,KG,
"Product 1548","Sewing & printing",P1548,R7,C3,RW2,39.00,pcs,
"Product 1804","Sewing & printing",P1804,R10,C4,RW2,60.00,pcs,
"Product 1293",Stationery,P1293,R6,C2,RW3,42.00,Feet,
"Product 1549","Loom F SN-4",P1549,R7,C2,RW1,13.00,KG,
"Product 1805","Ball & Bearing",P1805,R3,C4,RW4,26.00,Coel,
"Product 1294","Ball & Bearing",P1294,R8,C2,RW2,79.00,Feet,
"Product 1550","Ball & Bearing",P1550,R7,C3,RW2,18.00,Coel,
"Product 1806","Ball & Bearing",P1806,R4,C4,RW2,76.00,Feet,
"Product 1295","Loom F SN-6 m",P1295,R3,C1,RW4,40.00,pcs,
"Product 1551","Ball & Bearing",P1551,R7,C2,RW3,56.00,KG,
"Product 1807",Stationery,P1807,R1,C2,RW4,41.00,pkt,
"Product 1296","Loom F SN-6 m",P1296,R4,C1,RW2,97.00,KG,
"Product 1552","Loom F SN-4",P1552,R9,C1,RW5,17.00,Feet,
"Product 1808","Ball & Bearing",P1808,R6,C2,RW5,62.00,Feet,
"Product 1297","Ball & Bearing",P1297,R10,C3,RW4,95.00,Coel,
"Product 1553",Stationery,P1553,R7,C5,RW3,17.00,Feet,
"Product 1809",Stationery,P1809,R9,C2,RW3,78.00,pcs,
"Product 1298","Ball & Bearing",P1298,R4,C3,RW5,20.00,KG,
"Product 1554","Loom F SN-6 m",P1554,R7,C4,RW3,54.00,Feet,
"Product 1810","Sewing & printing",P1810,R7,C4,RW4,39.00,Coel,
"Product 1299","Loom F SN-4",P1299,R6,C3,RW1,37.00,KG,
"Product 1555","Ball & Bearing",P1555,R1,C4,RW3,35.00,pkt,
"Product 1811","Sewing & printing",P1811,R6,C1,RW3,40.00,pkt,
"Product 1300",Stationery,P1300,R9,C4,RW3,37.00,KG,
"Product 1556",Stationery,P1556,R9,C3,RW5,49.00,KG,
"Product 1812","Loom F SN-6 m",P1812,R3,C3,RW5,69.00,pcs,
"Product 1301","Sewing & printing",P1301,R10,C2,RW4,37.00,Coel,
"Product 1557","Sewing & printing",P1557,R7,C4,RW3,43.00,Coel,
"Product 1813","Ball & Bearing",P1813,R6,C1,RW4,59.00,pkt,
"Product 1302","Sewing & printing",P1302,R1,C5,RW4,36.00,pcs,
"Product 1558","Ball & Bearing",P1558,R4,C5,RW1,30.00,pkt,
"Product 1814","Sewing & printing",P1814,R2,C3,RW3,57.00,Coel,
"Product 1303","Loom F SN-4",P1303,R9,C3,RW5,51.00,pkt,
"Product 1559","Loom F SN-6 m",P1559,R6,C5,RW5,68.00,pcs,
"Product 1815",Stationery,P1815,R1,C2,RW4,47.00,Feet,
"Product 1304","Sewing & printing",P1304,R4,C1,RW4,99.00,pkt,
"Product 1560","Ball & Bearing",P1560,R10,C5,RW1,47.00,Feet,
"Product 1816","Ball & Bearing",P1816,R9,C1,RW4,64.00,pcs,
"Product 1305","Ball & Bearing",P1305,R9,C1,RW2,43.00,KG,
"Product 1561",Stationery,P1561,R2,C3,RW3,22.00,pkt,
"Product 1817","Loom F SN-4",P1817,R1,C2,RW5,34.00,KG,
"Product 1306",Stationery,P1306,R1,C5,RW4,100.00,Feet,
"Product 1562","Ball & Bearing",P1562,R5,C3,RW5,40.00,pkt,
"Product 1818","Loom F SN-6 m",P1818,R6,C4,RW2,78.00,pcs,
"Product 1307","Sewing & printing",P1307,R2,C4,RW1,48.00,pcs,
"Product 1563","Loom F SN-6 m",P1563,R4,C1,RW4,97.00,Feet,
"Product 1819","Loom F SN-6 m",P1819,R10,C5,RW4,49.00,Coel,
"Product 1308","Ball & Bearing",P1308,R7,C4,RW3,32.00,pkt,
"Product 1564","Loom F SN-4",P1564,R9,C3,RW1,22.00,Coel,
"Product 1820",Stationery,P1820,R7,C5,RW3,78.00,pcs,
"Product 1309","Sewing & printing",P1309,R6,C3,RW2,56.00,Feet,
"Product 1565","Loom F SN-6 m",P1565,R1,C1,RW2,25.00,KG,
"Product 1821","Sewing & printing",P1821,R4,C5,RW4,67.00,KG,
"Product 1310","Ball & Bearing",P1310,R6,C1,RW2,100.00,pcs,
"Product 1566",Stationery,P1566,R6,C4,RW2,32.00,pcs,
"Product 1822","Loom F SN-6 m",P1822,R6,C5,RW1,73.00,KG,
"Product 1311",Stationery,P1311,R2,C3,RW1,55.00,KG,
"Product 1567","Loom F SN-6 m",P1567,R9,C2,RW3,69.00,pcs,
"Product 1823","Loom F SN-4",P1823,R9,C5,RW5,20.00,Coel,
